ranking,budget,n_sends,cost_spent,profit_per_customer,standard_error,ci_low,ci_high,total_profit,baseline_profit,n_customers,budget_used,net_gain,return_on_spend
always Mens,2880.0,28800,2880.0,0.24727743117251036,0.02992891197284299,0.18861784160926848,0.30593702073575224,15825.755595040662,12533.555618135735,64000,1.0,3292.199976904927,1.1431249919808775
always Mens,3200.0,32000,3200.0,0.26170555603584017,0.03102941184311065,0.20088902636188266,0.3225220857097977,16749.15558629377,12533.555618135735,64000,1.0,4215.599968158036,1.3173749900493863
always Mens,3520.0,35200,3520.0,0.27033786107711777,0.03153333575650707,0.2085336586819548,0.3321420634722807,17301.62310893554,12533.555618135735,64000,1.0,4768.067490799804,1.354564628068126
always Mens,3840.0,38400,3840.0,0.2793573484013733,0.032856189402609565,0.21496040050303195,0.3437542962997146,17878.87029768789,12533.555618135735,64000,1.0,5345.314679552153,1.3920090311333733
always Mens,4160.0,41600,4160.0,0.2881150872831617,0.03337991353772872,0.22269165894215243,0.353538515624171,18439.36558612235,12533.555618135735,64000,1.0,5905.809967986614,1.4196658576890897
always Mens,4480.0,44800,4480.0,0.2921938486349079,0.03392561965026961,0.2257008559671751,0.35868684130264067,18700.406312634106,12533.555618135735,64000,1.0,6166.850694498371,1.3765291728791007
always Mens,4800.0,48000,4800.0,0.3201669178611689,0.03575655467505879,0.2500853584868164,0.3902484772355214,20490.68274311481,12533.555618135735,64000,1.0,7957.127124979073,1.6577348177039737
always Mens,5120.0,51200,5120.0,0.3295751676253114,0.03634058673082004,0.25834892645584995,0.4008014087947729,21092.81072801993,12533.555618135735,64000,1.0,8559.255109884194,1.6717295136492567
always Mens,5440.0,54400,5440.0,0.3345633128766456,0.0366131738961137,0.26280281068056066,0.4063238150727305,21412.052024105316,12533.555618135735,64000,1.0,8878.496405969581,1.6320765452149966
always Mens,5760.0,54881,5488.1,0.3342252351427827,0.0366155972601857,0.2624599832403952,0.40599048704517016,21390.415049138093,12533.555618135735,64000,0.952795138888889,8856.859431002358,1.6138298192457057
always Mens,6080.0,54881,5488.1,0.3342252351427827,0.0366155972601857,0.2624599832403952,0.40599048704517016,21390.415049138093,12533.555618135735,64000,0.9026480263157896,8856.859431002358,1.6138298192457057
always Mens,6400.0,54881,5488.1,0.3342252351427827,0.0366155972601857,0.2624599832403952,0.40599048704517016,21390.415049138093,12533.555618135735,64000,0.857515625,8856.859431002358,1.6138298192457057
random ranking,0.0,0,0.0,0.19583680653337085,0.02384178019648611,0.14910777602093778,0.24256583704580392,12533.555618135735,12533.555618135735,64000,0.0,0.0,
random ranking,320.0,3200,320.0,0.22641521010426466,0.025869654502897153,0.1757116189860918,0.2771188012224375,14490.573446672937,12533.555618135735,64000,1.0,1957.0178285372021,6.115680714178756
random ranking,640.0,6400,640.0,0.23821998294211025,0.026904447002100932,0.1854882357940258,0.2909517300901947,15246.078908295056,12533.555618135735,64000,1.0,2712.523290159321,4.238317640873939
random ranking,960.0,9600,960.0,0.2309502185779191,0.02660364267664438,0.17880803707412335,0.2830924000817148,14780.813988986822,12533.555618135735,64000,1.0,2247.2583708510865,2.340894136303215
random ranking,1280.0,12800,1280.0,0.22310173410715775,0.02576802687029859,0.17259732948871215,0.27360613872560335,14278.510982858095,12533.555618135735,64000,1.0,1744.9553647223602,1.3632463786893438
random ranking,1600.0,16000,1600.0,0.2309383978461566,0.02637382946245321,0.17924664196534695,0.28263015372696626,14780.057462154024,12533.555618135735,64000,1.0,2246.5018440182885,1.4040636525114303
random ranking,1920.0,19200,1920.0,0.23784515198229697,0.027858991360855522,0.18324253226940765,0.2924477716951863,15222.089726867007,12533.555618135735,64000,1.0,2688.5341087312718,1.4002781816308707
random ranking,2240.0,22400,2240.0,0.24097488848133028,0.02765678634150785,0.1867685833238556,0.29518119363880496,15422.392862805138,12533.555618135735,64000,1.0,2888.837244669403,1.289659484227412
random ranking,2560.0,25600,2560.0,0.23037814636413684,0.026826656872063672,0.1777988650692781,0.28295742765899556,14744.201367304757,12533.555618135735,64000,1.0,2210.6457491690217,0.8635334957691491
random ranking,2880.0,28800,2880.0,0.23898796252464785,0.02747853674592013,0.18513102015478394,0.29284490489451176,15295.229601577463,12533.555618135735,64000,1.0,2761.6739834417276,0.9589145775839332
random ranking,3200.0,32000,3200.0,0.2519528630705557,0.028560613491901816,0.19597508925005938,0.307930636891052,16124.983236515565,12533.555618135735,64000,1.0,3591.42761837983,1.1223211307436969
random ranking,3520.0,35200,3520.0,0.25263000276538694,0.0289890962562458,0.19581241815878025,0.3094475873719936,16168.320176984764,12533.555618135735,64000,1.0,3634.7645588490286,1.0326035678548378
random ranking,3840.0,38400,3840.0,0.25579459519760395,0.029232585687979182,0.1984997800741837,0.31308941032102416,16370.854092646652,12533.555618135735,64000,1.0,3837.298474510917,0.999296477737218
random ranking,4160.0,41600,4160.0,0.2601514228636494,0.03004398984719983,0.2012662848112507,0.3190365609160481,16649.69106327356,12533.555618135735,64000,1.0,4116.135445137825,0.9894556358504386
random ranking,4480.0,44800,4480.0,0.2686815204913302,0.03097024514071332,0.20798095542315548,0.32938208555950493,17195.617311445134,12533.555618135735,64000,1.0,4662.061693309399,1.0406387708279907
random ranking,4800.0,48000,4800.0,0.27136222205667543,0.031096235107846325,0.21041472119050664,0.3323097229228442,17367.182211627227,12533.555618135735,64000,1.0,4833.626593491492,1.0070055403107274
random ranking,5120.0,51200,5120.0,0.2667522237185175,0.03163579970404935,0.20474719567645785,0.32875725176057713,17072.14231798512,12533.555618135735,64000,1.0,4538.586699849384,0.8864427148143328
random ranking,5440.0,54400,5440.0,0.2884467919090022,0.03313448731688027,0.22350439012171763,0.35338919369628674,18460.59468217614,12533.555618135735,64000,1.0,5927.039064040404,1.0895292397133096
random ranking,5760.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.952795138888889,5716.369454685879,1.0415935304906758
random ranking,6080.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.9026480263157896,5716.369454685879,1.0415935304906758
random ranking,6400.0,54881,5488.1,0.28515507926283773,0.03294293498845292,0.2205881131404256,0.34972204538524987,18249.925072821614,12533.555618135735,64000,0.857515625,5716.369454685879,1.0415935304906758
