treatment_arm,spend_effect,spend_ci_low,spend_ci_high,profit_per_email,profit_ci_low,profit_ci_high,p_value,break_even_spend,break_even_margin,break_even_margin_low,break_even_margin_high,margin,cost,profitable
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.04603456882109268,-0.10297205348631852,0.010902915844133165,0.11304216427732862,0.9999999999999999,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.20000000000000004,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.11511755681268068,-0.16620864202324429,-0.06402647160211708,1.0067164371341964e-05,0.9999999999999999,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.20000000000000004,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.1460345688210926,-0.20297205348631842,-0.08909708415586674,5.002249636911777e-07,1.4999999999999996,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.20000000000000004,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.21511755681268058,-0.2662086420232442,-0.16402647160211697,1.596367405030047e-16,1.4999999999999996,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.20000000000000004,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.14245678897363423,0.07128493314210192,0.21362864480516652,8.75501079672203e-05,0.19999999999999996,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.25000000000000006,0.05,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.05610305398414919,-0.007760802529055311,0.1199669104973537,0.08510638237032223,0.19999999999999996,0.11780999255560906,0.07354372661962706,0.29593365282563533,0.25000000000000006,0.05,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.09245678897363413,0.021284933142101822,0.16362864480516642,0.010894252064261957,0.3999999999999999,0.12989928873553483,0.09483036268109687,0.20612618032867347,0.25000000000000006,0.1,True
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,0.006103053984149148,-0.057760802529055355,0.06996691049735365,0.8514211287910108,0.3999999999999999,0.23561998511121812,0.14708745323925412,0.5918673056512707,0.25000000000000006,0.1,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.007543211026365876,-0.07871506685789818,0.06362864480516643,0.8354367729552364,0.7999999999999998,0.25979857747106966,0.18966072536219375,0.41225236065734694,0.25000000000000006,0.2,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.09389694601585087,-0.1577608025290554,-0.030033089502646368,0.003956730779909296,0.7999999999999998,0.47123997022243624,0.29417490647850825,1.1837346113025413,0.25000000000000006,0.2,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,-0.10754321102636578,-0.1787150668578981,-0.03637135519483348,0.00306168428455729,1.1999999999999997,0.3896978662066044,0.2844910880432906,0.6183785409860204,0.25000000000000006,0.3,False
Womens E-Mail,0.4244122159365967,0.16895678988377877,0.6798676419894147,-0.19389694601585078,-0.2577608025290553,-0.13003308950264628,2.6900942130413538e-09,1.1999999999999997,0.7068599553336543,0.44126235971776234,1.7756019169538118,0.25000000000000006,0.3,False
Mens E-Mail,0.7698271558945368,0.4851397325684076,1.0545145792206658,0.180948146768361,0.09554191977052223,0.26635437376619975,3.293664341810271e-05,0.16666666666666666,0.06494964436776741,0.04741518134054844,0.10306309016433673,0.30000000000000004,0.05,True
